page_number,essay
63,"As a child who hid behind her parents and never uttered a word whenever strangers were near, 
I was no stranger to people deeming me shy. As I got older, however, I found my voice more 
comfortably through music, through art, and through writing. 
Playing Mozart’s Violin Concerto in the Kennedy Center, for instance, unleashed a swell of 
emotions through the intricate art of storytelling with my violin. I was drawn to writing stories and 
sharing ideas with my peers, starting my editor career in fifth grade. Five years later, I co-
founded my high school’s literary magazine, Muses, which provides a platform for all 
voices while fostering connections among students. 
I was twelve years old when a HTML class through John Hopkins University’s Center for 
Talented Youth program introduced me to a modern language of communication: computers 
and the Internet. Falling in love with coding and website design, I utilized my newfound 
knowledge to design a website for my National History Day project, which won the school 
competition. In high school, I joined programming club, took the rigorous computer science 
classes, and designed Muses’ website. This year, I created a conceptual online boutique store, 
which won first place in Maryland Future Business Leader Association’s E-business competitive 
event. 
In the summer of [Date], I interned in a NCI melanoma research lab. This 
experience completed changed how I viewed the importance of technology to modern 
communication. We had obtained genotypes from thousands of melanoma patients and 
controls, but a new question arose: how could we extract the useful information from a massive 
data file, akin to finding a needle in a haystack? Under the guidance of a bioinformatician, I 
performed an association test between melanoma associated variants and survival outcome to 
identify the risk loci that might affect patient survival. 
Catering to the needs of the scientists, I wrote an app by R code that organizes and manages 
melanoma genotype information; extracting the information of a particular genotype and its 
association with melanoma was now a couple clicks away. From this work, I learned how to 
translate large data into solutions, while using the correct data format and data structure. I 
realized that modern technology not only helps us communicate more efficiently, but also 
provides a system upon which we can solve global problems. 
With a strong background in computer science and communications, I hope to incorporate both 
into a future career of building data systems, conducting research, and consulting for 
organizations that serve underrepresented citizens. 
One project I want to tackle is the modification of social media algorithms so that media created 
by minorities and/or for minorities will appear on users’ radars. The algorithm would analyze the 
user’s demographics and deliver news relevant to those traits, such as discoveries about Asian 
health issues showing up on Asian users’ feeds. Carnegie Mellon’s encouragement of 
interdisciplinary studies under the Information Systems major would allow me to accomplish this 
and so much more. As someone who attacks calculus and creative writing with equal 
enthusiasm, IS’ objective of providing students with a broad background in the humanities and 
sciences is very appealing. As someone who learned to work as a team in a research lab, 
CMU’s emphasis on collaboration and student innovation would push me to further improve my 
teamwork and problem-solving skills. 
In particular, I hope to take advantage of CMU’s Technology Consulting in the Global 
Community program, receiving guidance from both CMU’s renowned faculty and international 
technology experts. To that end, the Social and Decision Sciences major, my second choice, 
would also prepare me to utilize similar decision-making and analysis skills to solve social 
problems. 
We live in a world where communication through technology connects communities across the 
globe, more so than ever before. The future of exploration and innovation requires us to develop 
efficient ways of communication - we need a combination of scientific expertise and knowledge 
grounded in the humanities to accurately convey ideas, solve problems and make the planet a 
better home for us all. An education at Carnegie Mellon would propel me in this endeavor."
64,"“And you thought you could paint,” whispered the indistinguishable mass of colors in 
front of me, which was meant to represent a window. I looked down at the paint-stained 
printed image that I held with my trembling hand and back again to the unsuccessful 
attempts I had made to capture it on the canvas. My eyes scanned the wet paint 
avidly, attempting to find a solution to a problem I didn’t, couldn’t, solve. The more I 
looked at it, the more my mind wandered, focusing on the imperfections and confusion 
that the task of creating my first oil painting caused. Thoughts dashed through my brain 
like bullets, creating a knot of insecurity so tight that all of the pressure seemed to 
accumulate until I couldn’t hold it any longer. The pressure exploded, followed by 
several fat tears that spurted from my eyes. “Why would you do something you’re 
clearly not good at?” yelled my thoughts. I dropped my paintbrush on the floor, the paint 
splattering around me along with my tears. 
I had never encountered anything like the painting that lay in front of me. My little 
projects were generally characterized by the quick learning of new skills, after which I 
would easily succeed at achieving in the activity. Never had I struggled solving math 
problems, never had my words faltered while conjuring up a last minute essay. It was 
this previous success and my ability to learn things quickly that made this encounter 
with a challenge so difficult. When looking at an obstacle in the eyes, I was a coward. I 
was unable to face difficulty in the fear that I’d be unable to succeed. I turned around 
and walked away, the smell of wet paint fading along with the determination my eyes 
had once held. 
The colors would remain alone for the next few weeks, calling to me from the corner of 
my bedroom where they lay, discarded. It was not until that cloudy Sunday afternoon, 
common during rainy season, when the voices would finally reach my ears and guide 
my hands back to the paintbrush. It would take, however, 3 weeks and the development 
of a new friendship. 
I met Mirjana through an exchange programme between my school and a school hidden 
amongst the mountains of Panama, which aimed at providing a better education 
to teens from poor areas. She was pretty and soft-spoken, with white teeth and 
sparkling, brown eyes. She liked to read, and we hit it off right away. Her stay with us 
was filled with laughter and discussions about latin-american novelists, and it was 
amongst these that we grew to become the best of friends. Mirjana told me about her 
hobbies, her friends from back home, her dreams, but most of all, her fears. 
We spent long afternoons in bed, the soft breeze outside creating twists in our hair as it 
crawled through the window and listened to our conversations, the rain’s silent 
messenger during April. Mirjana told me about her fear of not being able to provide for 
her family and her homesickness while being at boarding school. It was during these 
conversations about fear that I began to look back at my painting attempts. Fear, that 
little whisper on the back of my ear, the fear of failure, had stopped me in my tracks 
when I had encountered a setback. 
Our conversations during these calm afternoons continued, and my thoughts about the 
fear of failure intensified. Why was failure so scary to me? Why was I afraid of 
something I had not yet encountered? These thoughts would reach a climax that cloudy 
Sunday afternoon, where my hands would find the paintbrush and dip it into the creamy 
mixture of oil paint. And although I did learn how to paint, my biggest achievement was 
learning how to push fear out of the way to let the water flow and the paint dance."
65,"My head was contorted to the left in a painful, awkward position in which the tip of my 
head brushed the top of my chest. It was as if a puppeteer had gained control of my 
now jerky, wooden-like legs; I could not walk without aid. My whole body was so weak 
that simple movements like lifting a glass of water exhausted me. Therefore, I had to be 
fed, bathed, and clothed as if I was an infant. My speech was extremely slurred and 
incomprehensible. The physical problems were not what destroyed me the most, 
however; my mental cognition was severely inhibited. I could not successfully read, 
write, or even keep up with simple plots of television shows. Everything moved too fast 
for me. I’d just finished learning about complex trig identities, and I now couldn't even 
count to ten! 
I’d developed a sudden, severe, rare form of dystonia just after my junior prom, but I 
have never believed in the quote “Where there’s a will, there’s a way” more than during 
my miraculous recovery, which revealed that my illness occurred to encourage me to 
stretch my supposed limitations in life’s journey. 
My high school principal froze my grades where they were at, but my mother had to 
contact the college I was dual enrolled with to extend the time to take my French and 
trig finals. I’d doubted I could even pass my finals due to my current cognitive state. My 
friends and family held back tears when they visited me. Their eyes stared at my stark 
white neck brace and awkward limbs, and their ears strained to comprehend my 
unintelligible speech. I did not react. I could not react. I felt like an empty shell of a 
human because I could not feel any kind of emotion—happiness, anger, fear, or 
sadness. I was simply being. Precious values my parents instilled in me–to maintain my 
faith and to crave the expansion of my knowledge– were gone. Prescribed medicine 
relieved my pain, but the various neurologists I’d seen could not determine how long I 
would be in this state; I believed God wanted me to be mentally and physically 
handicapped for the rest of my life. 
Then one day, after many hazy days of nothingness and being unaware of the passage 
of time, my mother asked me morosely if I would like to enroll in an online school or 
drop out of school altogether since my condition was not improving. Her words echoed 
in my mind, and I was immediately drawn out of my vegetative state because I was 
horrified at the potential reality of my dreams being crushed from something I had no 
control over. I refused to accept my supposed fate. 
I was the one thing in life I had control over. 
Every day, I exercised my legs by taking my dogs outside, checking the mailbox, and 
walking around my room. Instead of watching new shows or reading books, since I 
could not keep up, I watched movies that I’d regularly watched to practice reading 
subtitles and interpreting information. Who would’ve thought that Walt Disney’s Tarzan 
and Pixar’s Bee Movie would be some of the most vital tools of my healing process? 
For my trig class, numbers appeared to be Latin. However, after many weeks, I finally 
was able to solve problems and learn at the original rate I did before I got sick. As for 
French, I studied it every day to combat my weakened recall. Eventually, towards the 
end of the summer, I took my finals and aced them, and this success encouraged me to 
continue to strive for more successes, varying from learning new French words every 
day to starting my own music business. From my sickness, I realized that even the 
darkest points of your life occur for a reason, and any success begins with a powerful, 
true sense of self-determination."
66,"I began attending boarding school aged nine. 
Obviously, this is not particularly unusual – my school dorms were comprised of boys and girls in the 
same position as me. However, for me it was difficult – or perhaps it was for all of us; I don’t know. We 
certainly never discussed it. 
I felt utterly alone, as though my family had abruptly withdrawn the love and support thatI so desperately 
needed. At first, I did try to open up to them during weekly phone calls, but what could they do? As 
months slipped by, the number of calls reduced. I felt they had forgotten me. Maybe they felt I had 
withdrawn from them. A vast chasm of distance was cracking open between us. 
At first, I shared my hurt feelings with my peers, who were amazingly supportive, but there was a limit to 
how much help they could offer. After a while, I realized that by opening up, I was 
burdening them, perhaps even irritating them. The feelings I was sharing should have been reserved for 
family. So, I withdrew into myself. I started storing up my emotions and became a man of few words. In 
the classroom or on the sports field, people saw a self-confident and cheerful character, but behind that 
facade was someone who yearned for someone to understand him and accept him as he was. 
Years went past. 
Then came the phone call which was about to change my life. “Just come home Aryan, it’s really 
important!” My mother’s voice was odd, brittle. I told her I had important exams the 
following week, so needed to study. “Aryan, why don’t you listen to me? There is no other option, 
okay? You are coming home.” 
Concerned, I arranged to fly home. When I got there, my sister didn’t say hi to me, my grandmother didn’t 
seem overly enthusiastic to see me and my mother was nowhere to be seen. I wanted to be told why I 
was called back so suddenly just to be greeted as though I wasn’t even welcome. 
Then my mother then came out of her room and saw me. To my immense incredulity, she ran to me and 
hugged me, and started crying in my arms. 
Then came the revelation, “Your father had a heart attack.” 
My father. The man I hadn’t really talked to in years. A man who didn’t even know who I was anymore. I’d 
spent so long being disappointed in him and suspecting he was disappointed in me, I sunk under a flood 
of emotions. 
I opened the door to his room and there he was sitting on his bed with a weak smile on his face. I felt 
shaken to my core. All at once it was clear to me how self-centered I had become. A feeling 
of humiliation engulfed me, but finally I realized that rather than wallow in it, I needed to appreciate I was 
not alone in having feelings. 
I remained at home that week. I understood that my family needed me. I worked with my uncle to ensure 
my family business was running smoothly and often invited relatives or friends over to cheer my father up. 
Most importantly, I spent time with my family. It had been years since I’d last wanted to do this – I had 
actively built the distance between us – but really, I’d never stopped craving it. Sitting together in the living 
room, I realized how badly I needed them. 
Seeing happiness in my father’s eyes, I felt I was finally being the son he had always needed me to be: A 
strong, capable young man equipped to take over the family business if need be."
67,"My favorite class in high school was also my hardest. It was World Culture/World 
Literature, an hour and a half each day of seeing history, art, and literature not as 
separate entities but as intricately connected, one incomplete without the other. I 
learned to see humanism in Greek sculpture, religious propaganda in the chiaroscuro of 
Baroque paintings, disillusionment in modern art. Although seemingly unrelated to my 
STEM-leaning interests, the analytical skills I learned there would prove invaluable in 
neuroscience research. Connecting electroencephalography results to mechanisms for 
chronic pain relief wasn’t all too different from drawing links between historical 
movements and paintings; both required an intimate knowledge of background 
information and a willingness to take risks, to see new relationships and forge 
unprecedented connections. 
LSA embodies precisely this mentality, fostering interdisciplinary learning and problem-
solving. With classes like “Health, Biology, and Society: What is Cancer?”, bridging 
humanistic and biological approaches to disease, and graduation requirements ranging 
from Natural Sciences to Race and Ethnicity, LSA prepares students for the real world, 
where problems necessitate not just single-minded expertise but also a diverse 
understanding of other factors involved. My internship experience only confirmed the 
practicality of this perspective; we used mindfulness meditation alongside spinal cord 
stimulation technologies to treat chronic pain. 
This mindset is not confined to learning inside the classroom. The LSA Opportunity Hub 
is robust, connecting students to internships at Nike, Forbes, and the US Department of 
Education, among other places. To intern as a research assistant at Mayo Clinic, to use 
mathematical models to predict brain tumor growth like current Michigan junior Tatum 
Doyle would be an unequalled opportunity. Her work in incorporating mathematical 
concepts in medical research personifies the LSA culture, where problems are best 
solved holistically. LSA’s interdisciplinary approach does not detract from fostering 
specialization and excellence in specific fields, but adds; its Biochemistry program 
promotes innovation and independence in its students and is ranked top in the nation. 
I remember boiling down cabbage with my dad to make acid/base indicators. In 
elementary school, my teacher wrote that I had been spending too much time reading 
animal books and too little time playing with other kids. I loved (and still love) all things 
living, often marvelling at the complexity of the animal kingdom, the human body, the 
organs, and the cells that were the foundation for everything else. The first time I read 
about the process of translation, of rendering mRNA into proteins, my eyes filled with 
tears; this is what I wanted to do, to apply the chemistry that had defined my childhood 
to my love of biology. 
LSA shares that passion, dedicating a plethora of resources, both intellectual and 
material, to its Biochemistry department. With equipment like atomic absorption 
spectrophotometers, classes in Endocrinology, and distinguished professors, the 
University of Michigan has everything any biochemistry undergraduate student would 
need, and much more. To research under a PI like Dr. Kopelman, winner of the J. 
William Fulbright Research Award, would be a dream fulfilled. His work in employing 5-
dimensional chemical imaging to visualize and treat tumors does what LSA does best; it 
uses an interdisciplinary approach to make academic discoveries both relevant and 
essential in the real world. It is a culture I would be honored to take part in, should I be 
accepted."
68,"When I first started seriously thinking about college during sophomore year, I didn’t 
want to go anywhere outside of Ohio. I thought I would be too far away from home. But 
the more mail I received from different colleges, the more I realized that some of my 
best opportunities were going to come from outside of my comfort zone, from outside of 
Ohio. One pamphlet from the University of Pennsylvania in particular caught my eye, 
and although I was a bit skeptical at first, as I did my research I realized that 
the University of Pennsylvania is a top tier university that holds many unique 
opportunities for its students. 
One of the first things I noticed when I began to research Penn was their emphasis on 
interdisciplinary studies. This appealed to me because I have never been interested in 
only one subject. The fact that a third of my classes would be taken outside of the 
Wharton School tells me that I will be able to explore a variety of classes in virtually any 
subject. For example, although I do not want to major in it, I have always been 
interested in computer coding. Hopefully I will able able to take some introductory level 
computer programming or coding classes at Penn even though it is not directly related 
to finance, my potential concentration. I am also excited about the availability of foreign 
languages at the University of Pennsylvania. I started learning French in eighth grade, 
and since my school only offers four years of French, I wasn’t able to take it my senior 
year, and I really miss it. I also started learning Portuguese during high school because 
I want to travel to Brazil one day. I want to continue learning both of these languages at 
the University of Pennsylvania. I am very excited about the opportunities that the 
emphasis on interdisciplinary studies will give me at Penn. 
Another aspect of Penn that I found fascinating was their different programs regarding 
political science. At one point, I wanted to major in political science. But when I took an 
Introduction to Global Politics class at the Ohio State University during the summer 
before my senior year, I didn’t know if I could honestly see myself studying that for four 
years. However, during my time researching political science at Penn, I found out about 
an amazing program that I could participate in: Penn in Washington. Political science is 
currently my second choice major, and if I decide that’s what I want to major in, it would 
be with a concentration in American Politics, so the Penn in Washington program would 
be perfect for me to find an internship and learn about how the different parts of 
government work together in the heart of America’s government. However, if I choose 
not to major in political science, I would still be interested in the American Public Policy 
minor, which is offered through the political science department in the College of Arts 
and Sciences and the Wharton School, which is where I will possibly be pursuing a 
degree in finance. Penn seems to match perfectly with what I want to study in college. I 
am really excited for the opportunities that the University of Pennsylvania will give me. 
From the interdisciplinary studies to the foreign languages and political science 
programs, I will have plenty of chances to explore my diverse interests here at the 
University of Pennsylvania."
69,"In my freshman year of high school, I had enrolled in the String Orchestra Advanced 
Class which was mixed in with the Beginning class. I was the only person with 
experience, seven years in the Violin at the time, while most of the students in the class 
were beginners. I got class elected, then re-elected as President my Freshman and 
Sophomore years, and was First Violin, then First Viola Chair. 
My first year consisted of myself and the instructor teaching the basics of each 
instrument. Learning a new instrument is frustrating, and there were times where older 
students in the class would get frustrated and unhappy that a Freshman knew more 
than they did. 
As a leader I had to make sure I did not keep a separation between myself and my 
classmates. Therefore, my Sophomore year, I changed my instrument to the Viola. 
By showing my classmates that I too was a beginner, and that I too had to learn 
because I had a new instrument -inspired the class to learn as well. My classmates no 
longer saw me as someone who told people to practice and not give up, yet did not 
have to practice or struggle themselves, but instead, as someone who was there 
practicing, and struggling along with them. 
The Orchestra program at my school started my Freshman year as an experimental 
class, but the school ended the class after my Sophomore year. Though unfortunate, in 
the two years of its existence, my classmates went from being novices, to performers, 
where in the last year of the program, we performed many times for school events and 
finally in an orchestra conference in my Sophomore year, where judges praised our 
Orchestra's technique and cohesiveness. 
After the class got cut, many of my classmates continued to pursue music 
independently, or in the District Orchestra. It is a wonderful feeling for me to see my 
former classmates -to this day- performing, and even teaching others, knowing that I 
was there when their journeys in music first began, and I look forward to seeing their 
musical pursuits in the future."
70,"Last summer I participated in molecular biology research at Boston University. 
Surrounded by 39 other high school seniors, I perceived with new clarity how an 
inquisitive, curious mind must interact in an unapologetic manner. Entering lectures 
about the basics of molecular biology, most of us initially thought we knew a great deal 
about biology. I quickly realized my naivete, and once I accepted my own ignorance, I 
settled into a passive absorption mode. The looks on all our faces told the same story. 
Well, all of ours except Kelsey’s. 
Brilliant and inquisitive, Kelsey exhibited no fear raising her hand and boldly asking 
questions. Even during the portions of the lectures when we were simply reviewing 
concepts of biology, she never ceased to question the current topic. The first few times 
she asked questions, I thought she had little background knowledge so she just needed 
clarification. Yet as the first week progressed, I realized that not only did she have the 
background information required for this course but also the grit and determination 
needed for success in research. The levels of her questions stumped our lecturer at 
times and he responded, “I’ll have to get back to you on that one.” 
Often I just wanted to yell, “PUT YOUR HAND DOWN!!!”, as my tolerance for her 
constant inquiry began to erode while sitting through her questions and their 
subsequent answers. Due to her deep and thought-provoking questions, she became 
the class pariah; not necessarily because she was annoying but because of her resolute 
and indefatigable inquisitiveness. She was insatiable in her pursuit of knowledge, like a 
ribosome clinging to the endoplasmic reticulum. 
Yet as the course progressed, I finally began to notice the value of Kelsey’s questions. 
She asked questions of importance, questions researchers must ask themselves every 
day. Her inquiries were thoughts no one else my age seemed to have. The depth and 
breadth of her ideas fascinated me, especially given that she was only sixteen. 
Kelsey’s questions made me realize the importance of questioning preconceived 
notions. 
Subsequently, I became aware of my own willingness to challenge concepts that were 
accepted and taught as seemingly concrete, and I recognized the danger of blindly 
absorbing information without disputing it. Seeing the scholarly nature of Kelsey’s 
intellectual curiosity, I began to emulate her queries during the final few weeks of the 
program. Not only did I get more out of the lectures, but I also gained the experience 
necessary to question ideas and facts and search for answers, a vital skill in every 
academic realm. 
As a student with an interest in the sciences, I ask questions that may not have an 
obvious answer. As someone who strives for knowledge, I am willing to do research if 
what I am asking has no answer, but I do not simply possess an affinity toward 
knowledge. I wish to create it. Most young people cite coaches, teachers, or other 
adults as influential; however, for me, a peer-modeled approach to learning also has 
merit."
71,"An obnoxiously red banner with Chinese characters hangs in front of a small, 
unassuming diner close to home. I stroll inside Grand Lake, this bustling hive with 
waitresses scuttling hurriedly and tables shaking lightly, the din of laughter from families 
mixing with the aromas of Chinese food. A lady with a notepad impatiently beckons my 
family to sit at one of the free tables, and as soon as we’re all settled in, she begins 
addressing me in Mandarin - possibly asking what I wanted for a drink. I look at her 
blankly, and she returns the confused expression. “I don’t speak Chinese,” I laugh 
forcibly after a tense moment. She doesn’t find the humor in my apology. From 
thereafter, our order is taken in broken English, our chopsticks switched out for the 
standard fork and knife, and I feel the burning gaze of the waitresses judging my family 
as we eat our Sunday brunch in silence. 
Cultural confusion is commonplace. Being born in Peru and raised in Venezuela makes 
no difference in how most people see and treat us. Focusing on my slanted, almond 
eyes and ebony hair, I’m automatically pegged as an Asian wherever I go. Touring 
Peruvian artisan markets is always a test of wit and cleverness, as vendors try to over-
price items we’re interested in simply because we look Asian, and therefore must also 
have Crazy Rich Asian bank accounts. Pulling out a simple credit card at a Caracas 
mall once got us chased by three armed motorcyclists on the highway, and my mother 
risked collision as she wove in and out of the cramped lanes like a Formula One race 
car driver. Since when did my appearance jeopardize my life? 
My ancestry traces back to both Chinese and Japanese roots, its imprint burrowed deep 
in my face and DNA. But I’m a third generation, Peruvian-born girl with the fire to prove 
it. Over time, our Asian culture diluted and was replaced with a vibrant, Latino lifestyle. 
With each generation, the immigrant language faded, folktales blurred, spices dulled, 
and all things Asian abandoned. I celebrated Noche Buena as a kid, not Chinese New 
Year’s. My favorite childhood dishes were anticuchos and papa huancaína, not onigiri 
rice balls or sushi rolls. Everyone assumes that I am a math prodigy, shy and antisocial, 
a black belt karate master, and a laughingstock on the dance floor. But actually, I 
struggle hardest in my math class, studying twice as much as others for the same 
grade. My personality, although sweet, is bold and gregarious. I am a three-year 
kickboxer and a five-year Brazilian Jiu-Jitsu competitor. Turn on Marc Anthony and I 
may just get a spot on So You Think You Can Dance. I’m Latina, just packed in a cute, 
little Bento box. 
There is one Asian stereotype that I fit into, even though its backstory is completely 
misguided: playing the piano. In reality, piano musician culture was not developed in 
any Asian region, rather in European countries with pioneers such as Bach and 
Haydn. Statistically, there is an equal amount of Asian and non-Asian musicians in the 
professional world. I came across the piano through my own curiosity and will, not 
through my parents bludgeoning me to play it like it’s portrayed with all young Asians. I 
actually studied South American music for an international piano competition in Peru, 
finished as a finalist, and grew to love the radiant and eccentric style of Latino modern 
music. But I digress-- my potential should be evaluated separately from my appearance. 
I am a musician born by passion, not by race. I am a human defined by my 
achievements and experiences, not physical assumptions. Leave your preconceptions 
by the welcome mat and size me up by the sound of my Rachmaninoff sonata or 
Enrique Iturriaga solos, and let my character sing your first and final impressions of me."
72,"When I was in middle school, I was bullied, and ended up falling into a deep depression. 
No one ever tried to stick up for me or befriend me. I’d like to think if someone had, 
maybe middle school would have been different for me. In high school, I decided I 
wouldn’t let anyone make me feel worthless again. But just because I wasn’t getting 
bullied didn’t mean there weren’t hundreds of kids in my school who were feeling 
victimized. I think the meaning of “to walk with others” is to protect, to nurture, and to 
share all the great things in the world that go beyond school. 
Since Freshman year, I’ve tried to sit with a different person in the lunchroom every day. 
We talk and share things that make us happy, be it stories or food! As a Senior, it might 
seem intimidating for me to sit down with a group of Freshman, but I always have a 
smile on my face, and always offer a warm hug or some advice. I try to touch every soul 
to let them know that someone is listening, since you never know what people are 
quietly going through."
73,"I recall entering the intimidating world of high school as an exorbitantly introverted, 
stereotypical Asian girl. My father urged me to assert myself and attempt new activities I 
wouldn’t have typically participated in. I didn’t want to be disappointed in twenty years 
by the things I didn’t attempt in high school, so I decided to pursue my long-time dream 
of becoming a cheerleader. I had always admired the optimism that cheerleaders had, 
and I was at a point in my life where I needed more positivity. 
I faced obstacles trying to join the team. An Asian cheerleader? But Asians were 
supposed to be smart and cheerleaders were dumb! I broke racial stereotypes by 
becoming the first Asian cheerleader in my high school. 
When I made the squad, I was exposed to individuals which whom I did not ordinarily 
traverse paths. I stepped outside of my bubble and met girls who were extremely 
extroverted and seemed to be in a constant state of elation. They taught me how to 
spread positivity throughout my daily interactions and taught me to use optimism as a 
strength in facing the hurdles of life. These were qualities I would have never learned 
from a textbook. 
My parents had possessed strong reservations about me joining and feared I would 
meet girls who weren’t motivated in academics. This was false. Many of the girls were 
brilliant and creative in ways my regular friend group wasn’t. All avenues of life met 
there on that team. 
Cheerleading was the rain and sun that helped a small seed like me bloom into a flower. 
It delights me knowing that I gained social skills and made friends I never thought I 
could gain. Cheerleading has changed my perspective on life and joining that family is 
one of my greatest treasures."
74,"Filled with activity around the clock. A place to come home to. 
Loving. 
Trying to get past locked doors (literal and metaphorical). 
Offering intellectual freedom and curiosity, without forcing specialization. 
Accommodating students who are unwilling to wait to make a difference. Willing to look 
critically at itself. 
Socially conscious and politically active. 
Firey. 
Never taking its eye off the national or global stage. 
Buzzing with so much life it flows beyond the campus into the outside world. 
So much life that sometimes it intimidates, that it yearns for more hours in the day. With 
too many options to choose from, Too much to do in four years. 
Filled with clever eyes that see new ideas in the lessons of history. 
Diverse. 
Diverse of origin, of culture, of opinion, of religion, of personality, Diverse like an 
international center of thought and ideas and passions. An urban wonderland. 
Supporting of extraordinary ambitions."
75,"Last summer I participated in molecular biology research at Boston University. 
Surrounded by 39 other high school seniors, I perceived with new clarity how an 
inquisitive, curious mind must interact in an unapologetic manner. Entering lectures 
about the basics of molecular biology, most of us initially thought we knew a great deal 
about biology. I quickly realized my naivete, and once I accepted my own ignorance, I 
settled into a passive absorption mode. The looks on all our faces told the same 
story. Well, all of ours except Kelsey’s. 
Brilliant and inquisitive, Kelsey exhibited no fear raising her hand and boldly asking 
questions. Even during the portions of the lectures when we were simply reviewing 
concepts of biology, she never ceased to question the current topic. The first few times 
she asked questions, I thought she had little background knowledge so she just needed 
clarification. Yet as the first week progressed, I realized that not only did she have the 
background information required for this course but also the grit and determination 
needed for success in research. The levels of her questions stumped our lecturer at 
times and he responded, “I’ll have to get back to you on that one.” 
Often I just wanted to yell, “PUT YOUR HAND DOWN!!!”, as my tolerance for her 
constant inquiry began to erode while sitting through her questions and their 
subsequent answers. Due to her deep and thought-provoking questions, she became 
the class pariah; not necessarily because she was annoying but because of her resolute 
and indefatigable inquisitiveness. She was insatiable in her pursuit of knowledge, like a 
ribosome clinging to the endoplasmic reticulum. 
Yet as the course progressed, I finally began to notice the value of Kelsey’s questions. 
She asked questions of importance, questions researchers must ask themselves 
everyday. Her inquiries were thoughts no one else my age seemed to have. The depth 
and breadth of her ideas fascinated me, especially given that she was only sixteen. 
Kelsey’s questions made me realize the importance of questioning preconceived 
notions. 
Subsequently, I became aware of my own willingness to challenge concepts that were 
accepted and taught as seemingly concrete, and I recognized the danger of blindly 
absorbing information without disputing it. Seeing the scholarly nature of Kelsey’s 
intellectual curiosity, I began to emulate her queries during the final few weeks of the 
program. Not only did I get more out of the lectures, but I also gained the experience 
necessary to question ideas and facts and search for answers, a vital skill in every 
academic realm. 
As a student with an interest in the sciences, I ask questions that may not have an 
obvious answer. As someone who strives for knowledge, I am willing to do research if 
what I am asking has no answer, but I do not simply possess an affinity toward 
knowledge. I wish to create it. Most young people cite coaches, teachers, or other 
adults as influential; however, for me, a peer-modeled approach to learning also has 
merit."
76,"The relationship I cultivated with my school's college center, by simply being inquisitive, 
has been most significant. Over my years in high school the college center became my 2nd 
home, where I learned about extra opportunities and triumphed with help from counselors. 
For instance, with help from my school’s college center I applied and was accepted as an 
LAUSD Superintendent Summer Scholar this past summer. The program selected 15 
juniors out of over 450 applicants to work in one of 15 departments, and I was chosen to 
work for the communications department, which received over 70 applications – making 
me 1 of 70. Interning for LAUSD at their 29 floor high rise was very eye-opening and 
exposed me to working in communications alongside seasoned professionals. The 
opportunity gave me the chance to meet the Superintendent and school board members, 
who are politically in charge of my education. As part of the communications department I 
learned how the district operates a network of over 1,300 schools and saw how the 2nd 
largest school district shares info with stakeholders through universal press releases, 
phone calls, and the district homepage. 
I wrote several articles for the district publication and worked with public information 
officers who taught me the principles of professionalism and how to communicate to over 1 
million people. Recently, I was called from the district to become a part of their Media 
Advisory Council working alongside district heads, representing the students of LAUSD. 
Working for LAUSD furthered my passion to pursue careers in both communication and 
education. I have always had a desire to be a journalist and the internship assured me of 
that. I want to write stories bringing student issues from areas like mine to light. Being 
exposed to the movers and shakers that control education in Los Angeles has heavily 
motivated me to become an educator and at some point become a school board member 
influencing the education students like me receive. 
Support from the college center has spawned opportunities like a life-changing internship 
and set me on course for a future full of opportunity."
77,"I am ""Korean big toes"", ""a water panda in disguise"", and ""Mr. Sweatface"" - these are the 
nicknames I happily accepted over the years. My life was a buoyant bubble, full of 
gratification, funny nicknames, and simple pleasures; but that changed when I was 
confronted with the inhumane conditions of the LGBT centers around my town. 
Stepping into the stone-house building, a few things immediately caught my attention. 
The rooms were small, full of broken furniture, smelled of mold, and had poor lighting; 
moreover, there was no privacy and extremely limited resources. It was obvious that the 
facility didn't have the funds to sustain itself, let alone help anyone trying to assimilate 
back into society. My heart ached as I realized the advantages I had been taking for 
granted; the idealistic mirage of reality I previously held, was now replaced by an 
overwhelming truth: Life isn't fair. Everyone in that facility had been criminalized for their 
sexuality, and I was going to do something about it! 
Over the next few weeks, I brainstormed ideas and eventually decided on creating a 
blog where I would share the stories of anyone who was willing to speak up for change. 
The clickety-clack of my keyboard filled the common rooms of LGBT centers around my 
city. I slowly-but-surely interviewed the residents of these homes, recording stories of 
inequality and discrimination. As I uploaded each story to my blog, I felt a sense of 
accomplishment knowing that I was breaking down barriers and fulfilling my passions. 
Furthermore, reading the comments flooding my inbox, I realized that although the 
LGBT centers in my area still remain underfunded, I had made an impact on individuals 
through my blog and did something for a community I genuinely cared about. It was 
more than I could have ever hoped for. 
In my quest to create change, I forged a new nickname for myself -- ""advocate""; except, 
unlike the titles I was bestowed as a kid, this nickname represented my creativity, 
ingenuity, and passion, and for those reasons, it is more precious than anyone will ever 
know."
